Summary,Issue Type,Description,Acceptance Criteria,Component,Priority,Depends On,Source
Author rewardIds for Pamana Level 5,Task,"Level15_Config.rewardIds is empty, so the content-missing guard refuses completion.","- Level15_Config.rewardIds contains memory.pamana.05
- LevelPhasePlan.FromConfig(Level15_Config).MemoryRewardContentMissing is false (EditMode test)",Pamana era content (Levels 11-15),Medium,Author the memory cutscene asset for Pamana Level 5,COVERAGE.md · FLOW-03; 15-levels-and-content-coverage.md · LVL-15
Author Challenge_Ugnayan06_Context (feeling vs action),Task,Level 6 has no challengeSequence.,"- Challenge_Ugnayan06_Context asks the player to distinguish AWA (feeling) from GAWA (action) per the spec row
- It is assigned to Level6_Config.challengeSequence and Salinlahi > Campaign > Validate reports no error for Level 6",Ugnayan era content (Levels 6-10),Medium,none,COVERAGE.md · REST-29; 15-levels-and-content-coverage.md · LVL-06
Author Challenge_Ugnayan07_Context (drag KASAMA to the group),Task,Level 7 has no challengeSequence. Restorable token is the root SAMA (ruling Q9).,"- Challenge_Ugnayan07_Context presents KASAMA as a placement onto the group with SAMA as the restorable token
- It is assigned to Level7_Config.challengeSequence and the validator reports no error for Level 7",Ugnayan era content (Levels 6-10),Medium,none,10-restoration-and-challenges.md · REST-11; 15-levels-and-content-coverage.md · LVL-06
Author Challenge_Ugnayan08_Context (cause and result blanks),Task,Level 8 has no challengeSequence.,"- Challenge_Ugnayan08_Context presents cause/result blanks for GANA and KAYA
- It is assigned to Level8_Config.challengeSequence and the validator reports no error for Level 8",Ugnayan era content (Levels 6-10),Medium,none,15-levels-and-content-coverage.md · LVL-06
Author the Ugnayan era paragraph and SANA/SAYA units for Challenge_Ugnayan10_Context,Task,Level 10 has no challengeSequence; ruling Q4 requires the era paragraph plus the two taught words.,"- Challenge_Ugnayan10_Context contains one ParagraphRestoration unit per paragraph line with checkpointOnSuccess true, plus the SANA and SAYA taught slots
- Earlier Ugnayan words appear as review blanks; tokens are root words
- It is assigned to Level10_Config.challengeSequence and the validator reports no error for Level 10",Ugnayan era content (Levels 6-10),Medium,none,10-restoration-and-challenges.md · REST-24; 15-levels-and-content-coverage.md · LVL-06
Clear the Superintendent boss reference from Level10_Config,Task,Ruling Q5 retires the Level 10 boss; the asset still points at BossConfig_Superintendent.,"- Level10_Config.bossConfig is {fileID: 0}
- Starting Level 10 runs WaveManager waves and never RunBossEncounter (EditMode test on the config)",Ugnayan era content (Levels 6-10),Medium,none,15-levels-and-content-coverage.md · LVL-06
Author Level 10 flow segments alternating wave groups and paragraph lines,Task,Level 10 has no flowSegments.,"- Level10_Config.flowSegments has one entry per paragraph line, each naming its wave group and challenge unit id
- In Play Mode, clearing a wave group opens its paragraph line and a correct line resumes the next wave group",Ugnayan era content (Levels 6-10),Medium,Author the Ugnayan era paragraph and SANA/SAYA units for Challenge_Ugnayan10_Context; Clear the Superintendent boss reference from Level10_Config,04-level-flow.md · FLOW-08
Author the Ugnayan ending line on Era_02,Task,The era completion overlay has no Ugnayan ending line.,"- Era_02.asset carries a Filipino ending line
- Completing Ugnayan Level 5 shows it on EraCompletionScreenUI",Ugnayan era content (Levels 6-10),Medium,none,COVERAGE.md · STORY-11
Extend CampaignLevelDataTool to select a per-syllable spoken value,Task,"The authoring tool cannot bind value.ra to a syllable, which is why Level 13 is empty.","- The tool exposes a spoken-value selector per decomposition syllable
- Binding value.ra to HARAYA's middle syllable round-trips through the tool",Pamana era content (Levels 11-15),Medium,none,15-levels-and-content-coverage.md · LVL-13
Author Level 13 focus words SANGA and HARAYA with a context-selected RA,Task,"Level 13 has no focus words, pool or learning requirements (ruling OQ-6: RA introduced here).","- Level13_Config.focusWords are SANGA (SA, NGA) and HARAYA (HA, RA, YA) with HARAYA's middle syllable bound to Char_RA / value.ra
- cumulativeSymbolPool includes symbol.ra and learningRequirements marks RA as Instruction
- Salinlahi > Campaign > Validate reports no error for Level 13
- The focus preview reads 'ha · ra · ya'",Pamana era content (Levels 11-15),Medium,Extend CampaignLevelDataTool to select a per-syllable spoken value,15-levels-and-content-coverage.md · LVL-13
Author Challenge_Pamana13_Context,Task,Level 13 has no challengeSequence.,"- Challenge_Pamana13_Context restores SANGA and HARAYA in the sentence
- It is assigned to Level13_Config.challengeSequence and the validator reports no error for Level 13",Pamana era content (Levels 11-15),Medium,Author Level 13 focus words SANGA and HARAYA with a context-selected RA,15-levels-and-content-coverage.md · LVL-13
Add Ragasa to the Level 13 waves and allowed enemy types,Task,Ragasa exists as data but is in no wave.,"- Level13_Config.allowedEnemyTypes and at least one wave include EnemyData_Ragasa
- A PlayMode test shows drawing RA defeats a Ragasa and drawing DA does not",Pamana era content (Levels 11-15),Medium,Author Level 13 focus words SANGA and HARAYA with a context-selected RA; Register the 18 corruption enemy ids against the Corrupted shell in EnemyPool,08-enemies.md · ENM-28
Author the Pamana era paragraph units for Challenge_Pamana15_Context ending in MALAYA,Task,"Ruling Q4 and the Level 15 third-round ruling: one paragraph line per boss phase, YA into MALAYA last.","- Challenge_Pamana15_Context contains three ParagraphRestoration units, one per boss phase, each with checkpointOnSuccess true
- PAMANA and MALAYA are the taught slots and the final line ends in MALAYA
- It is assigned to Level15_Config.challengeSequence and the validator reports no error for Level 15",Pamana era content (Levels 11-15),Medium,none,10-restoration-and-challenges.md · REST-24; 09-boss-paglimot.md · BOSS-11
Author the Pamana ending line on Era_03,Task,The era completion overlay has no Pamana ending line.,"- Era_03.asset carries a Filipino ending line
- Completing Pamana Level 5 shows it on EraCompletionScreenUI",Pamana era content (Levels 11-15),Medium,none,COVERAGE.md · STORY-11
Author a Paglimot boss config with three era-pool phases,Task,"Level 15 still references BossConfig_Kadiliman. Ruling: phase 1 summons Ugat-pool enemies, phase 2 Ugnayan, phase 3 all pools including Yapos ng Dilim. Disposition of the Kadiliman asset is an open question.","- A BossConfigSO whose bossEnemyData displayName is Paglimot has exactly three phases
- Phase 1 summonEnemyTypes are Ugat-pool enemies, phase 2 Ugnayan-pool, phase 3 draws from all three pools and includes YaposngDilim
- Level15_Config.bossConfig references it",Paglimot boss encounter (Level 15),Medium,none,09-boss-paglimot.md · BOSS-01; 09-boss-paglimot.md · BOSS-04
Open a paragraph line after each cleared boss phase,Task,BossController has no restoration hook.,"- On OnBossDamaged the boss holds and the flow presents that phase's ChallengeUnit
- The next boss phase starts only after the unit succeeds
- An EditMode test on LevelFlowMachine covers the boss-phase segment transition",Paglimot boss encounter (Level 15),Medium,none,09-boss-paglimot.md · BOSS-10
"Author Level 15 flow segments, one per boss phase",Task,Level 15 has no flowSegments.,"- Level15_Config.flowSegments has three entries, each naming its boss phase and paragraph unit
- Playing Level 15 restores one line after each phase and traces YA into MALAYA last",Paglimot boss encounter (Level 15),Medium,Author a Paglimot boss config with three era-pool phases; Open a paragraph line after each cleared boss phase; Author the Pamana era paragraph units for Challenge_Pamana15_Context ending in MALAYA,09-boss-paglimot.md · BOSS-10; 09-boss-paglimot.md · BOSS-11
Restart only the current boss phase on defeat in Level 15,Task,Dying in a late phase must not restart the encounter.,"- Losing all hearts in phase 2 restarts phase 2 with full hearts
- Paragraph line 1 stays locked after the restart",Paglimot boss encounter (Level 15),Medium,"Author Level 15 flow segments, one per boss phase",09-boss-paglimot.md · BOSS-12
Author a BossTutorialSO for Paglimot,Task,The only boss tutorial asset is for the retired El Inquisidor.,"- A BossTutorialSO with a name-and-lore page 1 (Filipino) and one page per mechanic is assigned to the Paglimot config's tutorial field
- The scroll opens before the encounter on Level 15",Paglimot boss encounter (Level 15),Medium,Author a Paglimot boss config with three era-pool phases,09-boss-paglimot.md · BOSS-02
Produce the Paglimot boss sprite and state animations,Task,The finale boss config's bossSprite is empty.,"- bossSprite is non-null on the Paglimot config
- Collapse and stand-up frames are assigned on BossStateVisuals",Paglimot boss encounter (Level 15),Medium,Author a Paglimot boss config with three era-pool phases,09-boss-paglimot.md · BOSS-13
Author a BossAudioBankSO for Paglimot,Task,"The finale boss has no audio bank, so the encounter is silent.","- A BossAudioBankSO is assigned to the Paglimot config's audioBank
- bgm, introGrowl, summonTick, bodyFall, vulnerabilityExpiredLaugh, defeat, hitGrowls, damagedGrowls, footsteps and teleports are all non-empty",Paglimot boss encounter (Level 15),Medium,Author a Paglimot boss config with three era-pool phases,09-boss-paglimot.md · BOSS-13
Add Paglimot to the Almanac enemy registry as a boss,Task,The Codex should list the one remaining boss.,"- AlmanacEnemyRegistry_Default contains the Paglimot bossEnemyData flagged as boss
- Its cell renders with the boss border once discovered",Paglimot boss encounter (Level 15),Low,Author a Paglimot boss config with three era-pool phases; Remove Superintendent and Kadiliman from AlmanacEnemyRegistry_Default,05-baybayin-learning.md · CODEX-05
Playtest Level 15 and record the boss timer results,Task,Timers are authored as starting values; nobody has played the encounter (RISK-14).,"- A report under progress/ records, per phase, the vulnerability window length, whether it expired, and draws completed
- The report proposes a value for each timer or states it should stay",Paglimot boss encounter (Level 15),Low,"Author Level 15 flow segments, one per boss phase; Produce the Paglimot boss sprite and state animations",09-boss-paglimot.md · BOSS-18
Persist a campaign-complete flag when Pamana Level 5 commits,Task,No post-game state exists.,"- CampaignSaveDocument carries a campaignComplete boolean set by CampaignOutcomeCoordinator when level.pamana.05 commits
- Journey reset clears it
- CampaignSaveMigrationTests cover the new field",Campaign ending sequence,Medium,none,03-story-and-dialogue.md · STORY-13
Author the Cutscene_Ending asset,Task,No ending cutscene exists.,- Cutscene_Ending.asset exists with Filipino panel copy for the ending beat,Campaign ending sequence,Medium,none,03-story-and-dialogue.md · STORY-13
Produce ending cutscene panel art,Task,Cutscene panel art is in scope for the team.,- Every panel of Cutscene_Ending has a non-null sprite,Campaign ending sequence,Medium,Author the Cutscene_Ending asset,03-story-and-dialogue.md · STORY-13
Play Cutscene_Ending after the Pamana Level 5 era completion,Task,Wire the ending into the flow.,"- After the era completion overlay of level.pamana.05, Cutscene_Ending plays once
- It does not replay on later launches",Campaign ending sequence,Medium,Author the Cutscene_Ending asset; Persist a campaign-complete flag when Pamana Level 5 commits,03-story-and-dialogue.md · STORY-13
Persist the wave checkpoint to the campaign save after each cleared wave,Task,GameManager's paused-run snapshot is in-memory only (ruling OQ-3).,"- After OnWaveCleared the save document stores levelId, next wave index and hearts remaining
- The write goes through CampaignOutcomeCoordinator's atomic boundary
- An EditMode test covers the write",Mid-level checkpoints and Save and Exit,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-09
Persist restoration progress after each completed syllable placement,Task,Ruling OQ-3: checkpoint on every completed syllable.,"- Each locked restoration slot is recorded in the save document as it locks
- An EditMode test covers the write",Mid-level checkpoints and Save and Exit,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-09
Bump the save schema and migrate for the checkpoint fields,Task,New fields need a migration.,"- CurrentSaveSchemaVersion is incremented
- CampaignSaveMigrator gives older saves an empty checkpoint
- CampaignSaveMigrationTests cover the migration",Mid-level checkpoints and Save and Exit,Medium,Persist the wave checkpoint to the campaign save after each cleared wave; Persist restoration progress after each completed syllable placement,COVERAGE.md · SAVE-09
Add Save and Exit to the pause menu,Task,No Save and Exit control exists.,"- A Save and Exit control writes the current checkpoint, aborts the attempt and returns to Main Menu
- No level outcome is committed",Mid-level checkpoints and Save and Exit,Medium,Persist the wave checkpoint to the campaign save after each cleared wave; Persist restoration progress after each completed syllable placement,12-pause-fail-retry-and-edge-cases.md · FAIL-09
Resume inside the level from the persisted checkpoint on Continue,Task,Ruling Q8: Continue resumes inside the level once checkpoints persist.,"- Continue enters the level at the stored wave index with the stored hearts
- Stored syllable placements are locked on the board
- Story, FocusWords and SymbolLearning phases are skipped on a resumed attempt",Mid-level checkpoints and Save and Exit,Medium,Bump the save schema and migrate for the checkpoint fields,12-pause-fail-retry-and-edge-cases.md · FAIL-09
Keep completed segment lines locked when a later wave is retried,Task,Segment-boundary state restoration is not established.,"- Dying in wave 3 of a segmented level restarts wave 3 with every earlier paragraph line still locked
- An EditMode test covers the machine state",Mid-level checkpoints and Save and Exit,Medium,Persist restoration progress after each completed syllable placement,04-level-flow.md · FLOW-09
Add a SaveStatusIndicator showing Saving then Saved at checkpoints,Task,SALIN-239 was closed with no implementation.,"- The text 'Saving...' appears when a commit starts and 'Saved' for about one second after success
- A PendingRetry result shows 'Save failed - retrying'
- State is conveyed by text, not colour alone",Mid-level checkpoints and Save and Exit,Low,none,11-results-rewards-and-progression.md · SAVE-06
Add a start-at-wave-index entry point to WaveManager,Task,Restart Wave and Retry Checkpoint both need it.,"- WaveManager.StartLevel(int waveIndex) begins spawning at that wave
- An EditMode test covers starting at index 2 of a 5-wave level",Wave restart and defeat recovery,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-07
Add Restart Wave to the pause menu,Task,Restart currently reloads the whole level.,"- After confirmation, Restart Wave restarts the current wave only; earlier waves are not replayed
- The existing Restart Level control is unchanged",Wave restart and defeat recovery,Medium,Add a start-at-wave-index entry point to WaveManager,12-pause-fail-retry-and-edge-cases.md · FAIL-07
Add Retry Checkpoint to the defeat screen,Task,SALIN-236 was closed with no implementation.,"- Retry Checkpoint restarts at the last cleared wave with full hearts
- No story, focus-word or symbol card replays",Wave restart and defeat recovery,Medium,Add a start-at-wave-index entry point to WaveManager,12-pause-fail-retry-and-edge-cases.md · FAIL-07
Name the symbols that reached the Shrine on the defeat screen,Task,The defeat screen shows the heart count only.,"- The defeat screen lists the glyph and syllable of every enemy that hit the base in the attempt
- An EditMode test covers the tracker",Wave restart and defeat recovery,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-12
Show a defeat cause line on the defeat screen,Task,Commit 78070b70 hid _explanationText.,- _explanationText is active on the defeat screen with an approved string,Wave restart and defeat recovery,Low,Review and approve every placeholder player-facing string,12-pause-fail-retry-and-edge-cases.md · FAIL-12
Open practice preselected to the missed symbols from Review Lesson,Task,The Review Lesson button's target is not established.,- Review Lesson opens the tracing surface with the first missed symbol selected and the rest in its list,Wave restart and defeat recovery,Medium,Name the symbols that reached the Shrine on the defeat screen,12-pause-fail-retry-and-edge-cases.md · FAIL-15
Route the defeat screen's Level Select control to the Level Select scene,Task,It currently returns to Main Menu.,"- Tapping Level Select on the defeat screen loads LevelSelect, not MainMenu",Wave restart and defeat recovery,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-16
List the target words and symbols in play on the pause panel,Task,SALIN-237 was closed with no implementation.,- The pause panel shows the level's focus-word displayLabels and the badge sprite of every symbol in the current wave's character pool,Wave restart and defeat recovery,Medium,none,12-pause-fail-retry-and-edge-cases.md · FAIL-05
Freeze the field for one second when an enemy reaches the Shrine,Task,SALIN-238 was closed with no implementation.,"- On OnBaseHit, enemy movement and spawning pause for 1.0 s of unscaled time
- Drawing input is suppressed during the freeze
- The pause menu still opens during the freeze",Heart-loss breach beat,Low,none,07-combat-and-defense.md · CMB-26
Show the missed glyph and syllable during the breach freeze,Task,The player should see what got through.,- During the freeze the missed character's badge sprite and spoken-value label are shown centred in the play column,Heart-loss breach beat,Low,Freeze the field for one second when an enemy reaches the Shrine,07-combat-and-defense.md · CMB-26
Re-queue the missed symbol as a later clue in the same wave,Task,The clue returns to the review queue.,"- When spawns remain in the wave, SpawnAssignmentDirector schedules the missed symbol at least once more before the wave ends
- An EditMode test covers the reschedule",Heart-loss breach beat,Low,none,07-combat-and-defense.md · CMB-26
"Show spoken values, first use and later uses on the Codex symbol detail",Task,"The detail shows portrait, name and description only.","- The detail lists each spokenValueId label, the firstIntroductionLevelId as 'Era · Level n', and every later level whose cumulativeSymbolPool contains the symbol",Codex upgrade and free practice,Medium,none,05-baybayin-learning.md · CODEX-06
Show mastery bars on the Codex symbol detail,Task,Mastery states are saved but never displayed per symbol.,"- The detail shows one bar per applicable MasteryDimension, read from SaveManager.LearningState
- Each bar displays Introduced, Practiced, Recalled or Mastered",Codex upgrade and free practice,Medium,none,05-baybayin-learning.md · MAST-01
Label locked Codex cells with the era they first appear in,Task,Locked cells show only a question mark.,- A locked cell reads 'Appears in <Era>' derived from firstIntroductionLevelId,Codex upgrade and free practice,Low,none,05-baybayin-learning.md · CODEX-06
Add a Practice Symbol control that opens the tracing surface preselected,Task,Ruling D-005 folds free practice into the Codex.,"- Tapping Practice Symbol on an introduced symbol's detail loads the tracing scene with that symbol selected in CharacterDropdown
- The control is hidden for symbols not in IntroducedSymbolIds",Codex upgrade and free practice,Medium,none,05-baybayin-learning.md · PRAC-08
Remove the Tracing Dojo button from the main menu,Task,Ruling D-005 removes the player-facing Tracing Dojo; internal Tracing* identifiers stay (D-006).,"- MainMenu.unity contains no TracingDojoButton
- MainMenuUI has no OnTracingDojoPressed handler
- The tracing scene is still reachable from the Codex",Codex upgrade and free practice,Medium,Add a Practice Symbol control that opens the tracing surface preselected,01-app-entry-and-main-menu.md · MM-22
Add a Voice volume slider for pronunciation clips,Task,Pronunciation plays on the SFX source; the GDD specifies a separate Voice channel.,"- Pronunciation clips play on a dedicated AudioSource scaled by master x voice
- A Voice slider in SettingsPanel persists in PlayerPrefs
- The SFX slider no longer affects pronunciation",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-03
Add a Captions toggle to Settings,Task,No captions setting exists.,- A Captions toggle in SettingsPanel persists in PlayerPrefs and exposes a static Captions.Enabled,Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-04
Show the syllable as caption text on every pronunciation when Captions is on,Task,Deaf and muted players need the same information.,"- With Captions on, every pronunciation playback shows the spoken-value label as text for the clip's duration
- With Captions off no caption is shown",Accessibility and settings,Low,Add a Captions toggle to Settings,14-accessibility-and-settings.md · ACC-04
Add a Narration toggle that mutes dialogue voice clips,Task,No narration setting exists.,"- With Narration off, DialogueLine voice clips do not play and the text still shows
- The toggle persists in PlayerPrefs",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-04
Add a font-size setting that scales body text,Task,No font-size setting exists.,"- SettingsPanel offers three sizes; the choice scales DialogueController, CutscenePlayer, HUD feedback and Results body text
- The setting persists in PlayerPrefs",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-06
Add a text-speed setting for the dialogue typewriter,Task,No text-speed setting exists.,"- Changing the setting changes DialogueController's per-character delay immediately
- The setting persists in PlayerPrefs",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-06
Add a Reduced Motion toggle to Settings,Task,No reduced-motion setting exists.,- A Reduced Motion toggle in SettingsPanel persists in PlayerPrefs and exposes a static ReducedMotion.Enabled,Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-09
Skip camera shake and edge flash when Reduced Motion is on,Task,Shake and flash are unconditional.,"- With Reduced Motion on, CameraShakeController and DamageEdgeFlashController do not play on a base hit
- With it off they play as before",Accessibility and settings,Low,Add a Reduced Motion toggle to Settings,14-accessibility-and-settings.md · ACC-09
Show a hearts numeral beside the heart icons,Task,HeartDisplay has no numeral.,- The HUD shows 'n/3' beside the hearts and updates on OnHeartsChanged,Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-10
Add a Large Hearts setting that doubles heart icon size,Task,No large-hearts setting exists.,"- With Large Hearts on, heart icons render at twice their default size
- The setting persists in PlayerPrefs",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-10
Add a Haptics toggle to Settings,Task,No haptics setting exists (ruling Q13 rescoped SALIN-265 to this).,- A Haptics toggle in SettingsPanel persists in PlayerPrefs,Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-12
Vibrate on a correct trace when Haptics is on,Task,No Vibrate call exists anywhere under Assets/Scripts.,- An accepted recognition calls Handheld.Vibrate once when Haptics is on and never when it is off,Accessibility and settings,Low,Add a Haptics toggle to Settings,14-accessibility-and-settings.md · ACC-12
Add a Difficulty Assist toggle to Settings,Task,"No assist setting exists. The numeric values for speed, trace window and guide opacity are an open question and are read from GameConfigSO fields.","- A Difficulty Assist toggle in SettingsPanel persists in PlayerPrefs and exposes a static Assist.Enabled
- GameConfigSO gains assistEnemySpeedFactor, assistMultiStrokeWindowSeconds and assistGuideOpacity fields",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-13
Apply the assist enemy speed factor when Assist is on,Task,EnemyMover has no assist factor.,"- With Assist on, EnemyMover multiplies speed by GameConfigSO.assistEnemySpeedFactor; with it off the factor is 1",Accessibility and settings,Low,Add a Difficulty Assist toggle to Settings,14-accessibility-and-settings.md · ACC-13
Extend the multi-stroke window when Assist is on,Task,StrokeCapture uses the fixed config window.,"- With Assist on, StrokeCapture uses GameConfigSO.assistMultiStrokeWindowSeconds instead of RecognitionConfigSO.multiStrokeWindowSeconds",Accessibility and settings,Low,Add a Difficulty Assist toggle to Settings,14-accessibility-and-settings.md · ACC-13
Raise the trace guide opacity when Assist is on,Task,TraceHintPresenter uses a fixed opacity.,"- With Assist on, TraceHintPresenter renders the guide at GameConfigSO.assistGuideOpacity",Accessibility and settings,Low,Add a Difficulty Assist toggle to Settings,14-accessibility-and-settings.md · ACC-13
Show an assist icon on Results when Assist was on during the attempt,Task,The rating must stay honest.,"- The Results screen shows an assist icon when Assist.Enabled was true at any point in the attempt
- The flag is part of the attempt's outcome so replay cannot hide it",Accessibility and settings,Low,Add a Difficulty Assist toggle to Settings,14-accessibility-and-settings.md · ACC-13
Offer the Difficulty Assist setting from the defeat screen,Task,Spec UF-32.,- The defeat screen has a control that opens SettingsPanel scrolled to Difficulty Assist,Accessibility and settings,Low,Add a Difficulty Assist toggle to Settings,14-accessibility-and-settings.md · ACC-13
Add Restore Defaults to Settings,Task,No reset-to-defaults exists.,"- Restore Defaults resets every SettingsPanel value to its default and writes them to PlayerPrefs
- The values survive a restart",Accessibility and settings,Low,none,14-accessibility-and-settings.md · ACC-15
Correct the OnboardingSequenceSO tooltip that names Level 2 as the first chain-on level,Task,"The field tooltip on OnboardingSequenceSO still asserts Level 2 is the first level with the multi-kill chain enabled. It is not: multiKillChainEnabled is 0 on every Ugat level, which is why 8131a6b8 removed the MassClearTeach beat from Level 2. The tooltip is the last thing in the tree still making the claim.","- The OnboardingSequenceSO tooltip no longer names Level 2
- It states the beat is for a chain-enabled level and that no Ugat level is one",Tutorial,Low,none,04-level-flow.md · FLOW-18
Give the Ugat 3 and 4 two-blank units a second evidenceContentId,Task,"b35e2119 restored the second blank on Challenge_Ugat03_Context and Challenge_Ugat04_Context, but evidenceContentId still carries one id per unit and one id cannot evidence two words. It was left as authored rather than silently picking a winner between INA and AMA on Level 4.","- Each two-blank unit on Ugat 3 and 4 carries an evidence id per blank
- The Memory Archive entry for each level names both restored words
- EditMode suite passes",Challenge content,Medium,none,10-restoration-and-challenges.md · REST-12
Run the SALIN-188 language and cultural review on the re-authored Ugat 3 and 4 Filipino,Task,b35e2119 rewrote the Level 3 and Level 4 context prompts and dropped the L3 AMA decoy. That Filipino has not been through the SALIN-188 language and cultural review that docs/content/ugat-levels-2-5-narrative.md names as its acceptance gate.,"- The two rewritten prompts are reviewed and the outcome recorded in the narrative doc
- Any correction is applied to the assets and the doc byte-identically",Content,Medium,none,10-restoration-and-challenges.md · REST-12
Produce scrambled badge art for the eighteen characters,Task,"BaybayinCharacterSO.scrambledBadgeSprite is null on all eighteen characters, so a badge showing a false face — Mantsa’s stain, Nawalang Mukha’s borrowed glyph — falls back to a dim-and-cool tint rather than a distinct sprite. EnemyGlyphBadge.cs:41 names the fallback as interim and says the treatment retires when the art lands.","- A scrambled badge sprite exists for every Char_*.asset
- Every Char_*.asset scrambledBadgeSprite is non-null
- A stained badge is distinguishable from a genuine one in a 360x640 screenshot",Art,Low,none,08-enemies.md · ENM-33
Decide whether the tutorial guide’s Skip affordance ships,Task,"6fc34851 fixed the timing contract so the Skip decision happens before the panel is raised, and recorded that no caller passes canSkip: true — the enemy-introduction draw step, the heart-loss demo and the challenge flow all pass false. The surface therefore shows no Skip at all today while the wiring to Level1OnboardingController’s skip gate is kept intact.","- A ruling names which beats, if any, offer Skip
- Either at least one caller passes canSkip: true and the control is reachable in play, or the wiring and its gate are removed
- EditMode suite passes",Tutorial,Low,none,14-accessibility-and-settings.md · ACC-19
